ID,Workclass,Education,Marital-status,Occupation,Relationship,Race,Sex,Native-country,Age,fnlwgt,Education-num,Capital-gain,Capital-loss,Hours-per-week,label
CLI0001,Federal-gov,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,Female,United-States,31,142470,13,0,0,40,<=50K
CLI0002,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,?,31,323069,9,0,0,20,<=50K
CLI0003,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,United-States,25,122489,13,0,1726,60,<=50K
CLI0004,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,United-States,70,346053,9,0,0,40,<=50K
CLI0005,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,United-States,39,176296,9,0,1887,40,>50K
CLI0006,?,Some-college,Never-married,?,Own-child,White,Female,United-States,20,168863,10,0,0,20,<=50K
CLI0007,Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,United-States,25,385646,9,0,0,40,<=50K
CLI0008,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,?,22,171176,9,0,0,48,<=50K
CLI0009,Private,Bachelors,Married-civ-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,Philippines,24,86745,13,0,0,40,<=50K
CLI0010,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,61,85194,10,0,0,25,<=50K
CLI0011,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,44,136986,14,15024,0,35,>50K
CLI0012,Self-emp-inc,Some-college,Separated,Sales,Not-in-family,White,Female,United-States,51,195638,10,0,0,40,<=50K
CLI0013,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,43,270721,13,0,0,55,>50K
CLI0014,Private,HS-grad,Never-married,Other-service,Other-relative,White,Male,United-States,58,113398,9,0,0,25,<=50K
CLI0015,Private,12th,Never-married,Other-service,Own-child,White,Male,United-States,17,169155,8,0,0,35,<=50K
CLI0016,Private,1st-4th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,57,130714,2,0,0,22,<=50K
CLI0017,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States,21,296158,9,0,0,35,<=50K
CLI0018,Private,1st-4th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Mexico,41,237321,2,0,0,40,>50K
CLI0019,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Male,United-States,46,118419,9,0,0,38,<=50K
CLI0020,Private,7th-8th,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,55,190514,4,0,0,75,<=50K
CLI0021,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,19,63434,10,0,0,35,<=50K
CLI0022,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,50,92079,10,0,0,45,>50K
CLI0023,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,40,274158,9,0,0,40,<=50K
CLI0024,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,38,31033,13,7298,0,40,>50K
CLI0025,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,46,130779,10,0,0,40,<=50K
CLI0026,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,42,39060,9,0,0,60,>50K
CLI0027,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Female,United-States,37,359131,9,0,0,48,<=50K
CLI0028,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,United-States,21,304302,9,0,0,40,<=50K
CLI0029,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,55,101338,6,0,0,40,<=50K
CLI0030,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,27,189777,9,0,0,40,<=50K
CLI0031,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,28,107411,13,0,0,35,<=50K
CLI0032,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Male,United-States,36,143068,10,0,0,40,<=50K
CLI0033,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,36,169037,9,0,0,40,<=50K
CLI0034,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,34,204375,15,0,0,60,>50K
CLI0035,Private,HS-grad,Never-married,Protective-serv,Not-in-family,White,Male,United-States,30,103596,9,0,0,99,<=50K
CLI0036,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,37,98389,9,0,0,50,>50K
CLI0037,Self-emp-not-inc,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,45,102771,13,0,0,40,>50K
CLI0038,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,22,43535,10,0,0,40,<=50K
CLI0039,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,United-States,40,120277,10,0,0,40,<=50K
